pricePerUnit;brand;productType;identificationID;dimensions;title;quantityAvailable;mainImage;technicalSheetURL
15.4;Interface;Réemploi;GIZ2304002;50x50;Transformation 118626;66;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/118626-qkqh.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/aa0de05f-e618-46f3-93de-24c0c08b3fb9.pdf
21;Balsan;Réemploi;GIZ2304001;50x50;KARPET - Pilote 980 - Réemploi;30;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/balsan-pilote-980-marron-avec-logo--OrUR.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/0a4fdbf0-650b-4354-8b46-3b81a9a3d835.pdf
23.1;Milliken;Réemploi;GIZ2303001;50x50;KARPET - Nordic Stories Tectonic TTC171-67 Oresund Bridge - Réemploi;65;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/TTC171-67L-B7BF.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/26c5e77f-3d4d-4e60-b7be-f046543f28d0.pdf
25.2;Interface;Réemploi;GIZ2305010;25x100;Touch Of Timber 4191006 Ash;170;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/ash-logo-bdtU.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/8482765c-9ca0-4404-98ab-6df50967c330.pdf
15.4;Desso;Réemploi;GIZ2304003;50x50;Scape B879 9515;135;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/9515-logo-lxf7.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/3f725f97-afc7-4fd8-80e4-876d7e7e6adf.pdf
23.8;Milliken;Réemploi;GIZ2306003;50x50;Out Of Shadows Umbra;135;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/SRG133-83-94-Umbra-h4pl.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/5e378b14-7f7a-45c6-bee6-25a5f22e1f75.pdf
19.6;Desso;Réemploi;GIZ2301011;50x50;Flow 9027;70;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/DESSO-CYCLE-UP-GRIS-CLAIR-AVEC-LOGO-KEZ3.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/c2190f37-ac8f-44e6-bb43-ea41f365ad51.pdf
21;Balsan;Réemploi;GIZ2208004;50x50;Pilote 910;30;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/BALSAN-PILOTE-GRIS-2211010-logo-PnyO.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/6172550d-f91c-4e65-9733-d9a061b4936b.pdf
15.4;Interface;Réemploi;GIZ2306005;50x50;Transformation 345502 STEPPE;35;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/optimalkarpet/345502-STEPPE-NTLL.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/83e01a80-269b-4c29-a892-eee685d07da7.pdf
15.4;Interface;Réemploi;GIZ2301007;50x50;Transformation 1628004 Meadow;45;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/Meadow-XaVW.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/0afbfa5c-a359-4463-acfc-12e0c3c317fb.pdf
